journal_name,SJR,H_ind,Total_Cites,Formats,Publisher_Ulrichs,Country _Ulrichs,Start_Year_Ulrichs,Age,Frequency_Ulrichs,Text_in_Ulrichs,Open_Access_Ulrichs,Serial_Type_Ulrichs,Description_Ulrichs,Subject_Ulrichs,Broad_Subject,
Aarboeger for Nordisk Oldkyndighed og Historie,NA,NA,NA,Print,Det Kongelige Nordiske Oldskriftselskab,Denmark,1837,183,Annual,Danish,Not listed,Yearbook,NA,HISTORY - HISTORY OF EUROPE,Other,
Acta Archaeologica,0.13,11,3,Print/Online,"Wiley-Blackwell Publishing, Inc.",United States,1930,90,Annual,"Italian, French, German, English",Not listed,Yearbook,NA,ARCHAEOLOGY,Archaeology,
Advances in Archaeological Method and Theory,NA,NA,NA,Print,Springer New York LLC,United States,1978,42,Quarterly,English,Not listed,Journal,"Presents original articles that critically assess and integrate research on a specific subject in archaeological method and theory, including topics in the history of archaeology, significant explorations, and relevant case studies.",ARCHAEOLOGY,Archaeology,
Advances in Archaeological Practice,NA,NA,NA,Online,Cambridge University Press,United States,2013,7,Quarterly,English,Not listed,Journal,NA,"ANTHROPOLOGY, ARCHAEOLOGY",Archaeology,
African Archaeological Review,0.94,31,163,Print/Online/Microform,Springer New York LLC,United States,1983,37,Semi-annually,English,Not listed,Journal,"Publishes articles on all aspects of the archaeology of Africa and neighboring islands, including new field data and discussions of interregional processes, cultural transitions, and Africa's place in world archaeology.","ARCHAEOLOGY, HISTORY - HISTORY OF AFRICA",Archaeology,
American Anthropologist,1.03,77,340,Print/Online,American Anthropological Association,United States,1888,132,X,English,Not listed,Journal,NA,ANTHROPOLOGY,Other,
American Antiquity,1.24,67,278,Print/Online/Microform,Cambridge University Press,United States,1935,85,Quarterly,English,Not listed,Journal,"Publishes original articles on the archaeology of the New World and related topics, along with research reports and commentary.",ARCHAEOLOGY,Archaeology,
American Journal of Archaeology,0.49,26,62,Print/Online/Microform,Archaeological Institute of America (Boston),United States,1885,135,Quarterly,English,Not listed,Journal,Contains scholarly essays on archaeology of ancient Europe and the Mediterranean from prehistoric times to late antiquity.,ARCHAEOLOGY,Archaeology,
American Journal of Human Biology,0.72,74,585,Print/Online,"John Wiley & Sons, Inc. ",United States,1989,31,Bi-monthly,English,Not listed,Journal,"Brings out reports of research, theoretical articles and timely reviews, and brief communications in the interdisciplinary field of human biology.",BIOLOGY,Other,
American Journal of Physical Anthropology,1.28,108,1661,Print/Online/Microform,"John Wiley & Sons, Inc. ",United States,1918,102,Quarterly,English,Not listed,Journal,"Provides information on human evolution and variation, including primate morphology, physiology, genetics, adaptation, growth, development, and behavior past and present.",ANTHROPOLOGY,Other,
American Schools of Oriental Research. Bulletin,0.61,11,59,Print/Online/Microform,University of Chicago Press,United States,1919,101,Semi-annually,English,Not listed,Journal,"Presents technical reports of original research and ASOR-sponsored excavations, and reviews of current scholarship in the field.","ASIAN STUDIES, HISTORY - HISTORY OF THE NEAR EAST",Other,
Anatolian Studies,0.25,18,20,Print/Online,Cambridge University Press,United Kingdom,1951,69,Annual,English,Not listed,Journal,Contains articles on the archaeology and related subjects of Turkey and surrounding regions.,"ARCHAEOLOGY, ASIAN STUDIES",Archaeology,
Anatolica,0.29,6,10,Print/Online,Nederlands Instituut voor het Nabije Oosten,Netherlands,1967,53,Annual,"French, German, English",Not listed,Journal,"Studies the art, archaeology, and culture of the ancient Near East.","ARCHAEOLOGY, HISTORY - HISTORY OF ASIA",Archaeology,
Ancient Mesoamerica,0.53,35,71,Print/Online,Cambridge University Press,United Kingdom,1990,30,3 times a year,English,Not listed,Journal,"International forum for the method, theory, substance and interpretation of Mesoamerican archaeology, art history and ethnohistory, chiefly concerned with the Precolumbian period.",HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,Other,
Andean Past,NA,NA,NA,Print,Cornell University * Latin American Studies Program,United States,1987,33,Irregular,English,Not listed,Journal,Dedicated to research in the archaeology and ethnohistory of Western South America.,ARCHAEOLOGY,Archaeology,
Annual Review of Anthropology,1.67,110,396,Print/Online/Microform,Annual Reviews,United States,1959,61,Annual,English,Not listed,Journal,"Covers significant developments in the subfields of Anthropology, including archaeology, biological anthropology, linguistics and communicative practices, regional studies and international anthropology, and sociocultural anthropology.",ANTHROPOLOGY,Other,
Antiquites Africaines,0.1,2,2,Print/Online,C N R S Editions,France,1967,53,Annual,French,Not listed,Journal,NA,"ARCHAEOLOGY, HISTORY - HISTORY OF AFRICA",Archaeology,
Antiquity,0.82,68,535,Print/Online/Microform,Cambridge University Press,United Kingdom,1927,93,Bi-monthly,English,Not listed,Journal,Provides reports on work in archaeology.,ARCHAEOLOGY,Archaeology,
Archaeofauna,0.35,16,24,Print/Online,Asociacion Espanola de Arqueozoologia,Spain,1992,28,Annual,Multiple languages,Not listed,Journal,NA,"ARCHAEOLOGY, BIOLOGY - ZOOLOGY",Archaeology,
Archaeological and Anthropological Sciences,0.93,24,432,Print/Online,Springer   ,Germany,2009,11,4 times a year,English,Not listed,Journal,Provides a forum to encourage the continued integration of scientific methodologies in archaeological research.,ARCHAEOLOGY,Archaeology,
Archaeological Dialogues,0.85,26,77,Print/Online,Cambridge University Press,United Kingdom,1994,26,Semi-annually,English,Not listed,Journal,"Promotes theoretically oriented approaches which go beyond traditional archaeological issues and consider historical, social and philosophical perspectives.",ARCHAEOLOGY,Archaeology,
Archaeological Prospection,0.63,34,121,Print/Online/Microform,John Wiley & Sons Ltd.,United Kingdom,1994,26,Quarterly,English,Not listed,Journal,Contains international coverage of all types of archaeological sites and the full range of underlying geology.,ARCHAEOLOGY,Archaeology,
Archaeological Research in Asia,0.91,7,90,Print/Online,Elsevier BV,Netherlands,2014,6,Quarterly,English,Not listed,Journal,NA,ARCHAEOLOGY,Archaeology,
Archaeological Review from Cambridge,NA,NA,NA,Print/Online,Cambridge University Press,United Kingdom,1981,39,Semi-annually,English,Not listed,Journal,Features articles on archaeological theory and practice.,ARCHAEOLOGY,Archaeology,
Archaeologies,0.18,17,26,Print/Online,Springer New York LLC,United States,2005,15,3 times a year,English,Not listed,Journal,Focuses on issues in archaeology relating to developing and under-developed areas of the globe.,ARCHAEOLOGY,Archaeology,
Archaeologischer Anzeiger,NA,NA,NA,Print,Dr. Ludwig Reichert Verlag,Germany,1849,171,Semi-annually,German,Not listed,Journal,NA,ARCHAEOLOGY,Archaeology,
Archaeologisches Korrespondenzblatt,NA,NA,NA,Print/Online,Roemisch-Germanisches Zentralmuseum * Forschunginstitute fuer Vor- und Fuehgeschicte,Germany,1971,49,4 times a year,German,Not listed,Journal,NA,ARCHAEOLOGY,Archaeology,
Archaeology of Eastern North America,NA,NA,NA,Print,Eastern States Archeological Federation,United States,1973,47,Annual,English,Not listed,Journal,NA,ARCHAEOLOGY,Archaeology,
Archaeometry,0.66,58,395,Print/Online,"Wiley-Blackwell Publishing, Ltd.",United Kingdom,1957,63,Bi-monthly,English,Not listed,Journal,Covers the application of the physical and biological sciences to archaeology and the history of art.,"ARCHAEOLOGY, ENGINEERING",Archaeology,
Archeologie Medievale,0.1,4,0,Print/Online,C N R S Editions,France,1971,49,Annual,French,Not listed,Journal,NA,ARCHAEOLOGY,Archaeology,
Asian Perspectives,0.35,28,23,Print/Online/Microform,University of Hawai'I Press,United States,1957,63,Semi-annually,English,Not listed,Journal,Presents papers on prehistory and archaeology of Asia and the Pacific.,ARCHAEOLOGY,Archaeology,
Association for Preservation Technology International. Bulletin,NA,NA,NA,Print,Association for Preservation Technology International,United States,1969,51,Quarterly,English,Not listed,Journal,"Covers research and practical application of the principles of preservation technology to buildings, sites and objects.",ARCHITECTURE,Other,
Australian Archaeology,1.11,21,94,Print/Online,Routledge,Australia,1974,46,3 times a year,English,Not listed,Journal,Provides articles in all fields of archaeology and other subjects relevant to archaeological research and practice in Australia and nearby areas.,ARCHAEOLOGY,Archaeology,
Azania,0.7,14,92,Print/Online,Taylor & Francis,United Kingdom,1966,54,Quarterly,English,Not listed,Journal,"Contains articles and notes on later prehistory, archaeology and precolonial history of eastern Africa.","ARCHAEOLOGY, HISTORY - HISTORY OF AFRICA",Archaeology,
Bioarchaeology International,NA,NA,NA,Print/Online,University of Florida Press,United States,2017,3,Quarterly,English,Not listed,Journal,"Publishes interdisciplinary articles on biological anthropology, archaeology, and social theory.","ANTHROPOLOGY, ARCHAEOLOGY",Archaeology,
Boreas,1.63,67,543,Print/Online/Microform,"Wiley-Blackwell Publishing, Inc.",United States,1972,48,Quarterly,English,Not listed,Journal,NA,"PALEONTOLOGY, EARTH SCIENCES - GEOLOGY",Other,
Britannia,0.11,1,2,Print/Online/CD-ROM,Cambridge University Press,United Kingdom,1970,50,Annual,English,Not listed,Journal,Publishes articles on all aspects of Romano-British studies; includes survey of Romano-British excavations.,"CLASSICAL STUDIES, HISTORY - HISTORY OF EUROPE",Other,
British School at Athens. Annual,0.31,18,17,Print/Online/Microform,Cambridge University Press,United Kingdom,1894,126,Annual,English,Not listed,Journal,"Includes the work of B.S.A. members on cultural, historical, artistic, or geographic aspects of Greece in classical, medieval, and modern times.","ARCHAEOLOGY, ART, CLASSICAL STUDIES, HISTORY - HISTORY OF EUROPE",Archaeology,
British School at Rome. Papers,0.15,18,23,Print/Online,Cambridge University Press,United Kingdom,1902,118,Annual,English,Not listed,Journal,Publishes high quality work carried out in Rome and Italy.,"ARCHAEOLOGY, ART, HISTORY - HISTORY OF EUROPE",Archaeology,
Bulletin Antieke Beschaving,0.13,5,6,Print,Peeters Publishers,Belgium,1925,95,Annual,"Italian, French, German, English",Not listed,Journal,Publishes original research papers and short communications of broad archaeological significance.,"ARCHAEOLOGY, CLASSICAL STUDIES ",Archaeology,
California Archaeology,NA,NA,NA,Print/Online,Taylor & Francis Inc.,United States,2009,11,Semi-annually,English,Not listed,Journal,"Publishes original papers on the archaeology of Alta California, Baja California, and adjoining regions (southern Oregon, western Nevada and Arizona).",ARCHAEOLOGY,Archaeology,
Cambridge Archaeological Journal,0.86,43,238,Print/Online,Cambridge University Press,United Kingdom,1991,29,Quarterly,English,Not listed,Journal,"Features theoretical and descriptive research articles, ranging widely in time and covering general topics of archaeology.",ARCHAEOLOGY,Archaeology,
Canadian Journal of Archaeology,NA,NA,NA,Print/Online,Canadian Archaeological Association,Canada,1969,51,Semi-annually,"French, English",Not listed,Journal,"Covers descriptive studies, cultural historical syntheses, theoretical explorations, and sociocultural analyses relating to the practice and politics of archaeology.",ARCHAEOLOGY,Archaeology,
Cell,25.98,705,46286,Print/Online,Cell Press,United States,1974,46,Bi-weekly,English,Not listed,Journal,Publishes research and reports on developments in molecular biology.,BIOLOGY - CYTOLOGY AND HISTOLOGY,Other,
Chungara,0.57,20,117,Print/Online,"	Universidad de Tarapaca * Facultad de Ciencias Sociales, Departamento de Arqueologia y Museologia",Chile,1972,48,Irregular,Spanish,Not listed,Journal,NA,"ANTHROPOLOGY, ARCHAEOLOGY",Archaeology,
Commissione Archeologica Comunale di Roma. Bullettino,0.1,2,1,Print/Online,L' Erma di Bretschneider,Italy,1872,148,Annual,Italian,Not listed,Journal,NA,"ARCHAEOLOGY, CLASSICAL STUDIES ",Archaeology,
Conservation and Management of Archaeological Sites,0.31,9,46,Print/Online,Routledge,United Kingdom,1995,25,Quarterly,English,Not listed,Journal,Reports on new approaches to the long-term preservation and presentation of archeological sites worldwide.,ARCHAEOLOGY,Archaeology,
Current Anthropology,1.35,98,681,Print/Online/Microform,University of Chicago Press,United States,1955,65,Bi-monthly,English,Not listed,Journal,"Contains research articles and commentary throughout social, cultural, and physical anthropology; ethnology; folklore; and more.",ANTHROPOLOGY,Other,
Danish Journal of Archaeology,NA,NA,NA,Print/Online,Danish Journal of Archaeology,United Kingdom,1982,38,Semi-annually,English,Not listed,Journal,NA,ARCHAEOLOGY,Archaeology,
Deutsches Archaeologisches Institut. Roemische Abteilung. Mitteilungen,NA,NA,NA,Print,Verlag Schnell und Steiner GmbH,Germany,1886,134,Irregular,Multiple languages,Not listed,Monographic series,NA,ARCHAEOLOGY,Archaeology,
Documenta Praehistorica,0.52,14,56,Print/Online,Univerza v Ljubljani * Filozofska Fakulteta,Slovenia,1964,56,Annual,English,Yes,Journal,NA,ARCHAEOLOGY,Archaeology,
Dumbarton Oaks Papers,0.11,17,7,Print/Online,"J. J. Augustin, Inc.",United States,1940,80,Annual,English,Not listed,Monographic series,NA,ARCHAEOLOGY,Archaeology,
Ecole Francaise de Rome. Melanges: Antiquite,NA,NA,NA,Print,De Boccard Edition,France,1881,139,Annual in 2 vols.,"Italian, French, German ",Not listed,Monographic series,Contains archaeology and chemical studies relating to Italy and western Mediterranean from prehistoric times to the end of the Roman Empire.,ARCHAEOLOGY,Archaeology,
Environmental Archaeology,0.88,23,168,Print/Online,Routledge,United Kingdom,1983,37,4 times a year,English,Not listed,Journal,"Covers all aspects of environmental archaeology, from methodology to synthesis and theory.","ENVIRONMENTAL STUDIES, ARCHAEOLOGY",Archaeology,
European Journal of Archaeology,0.72,26,95,Print/Online,Cambridge University Press,United Kingdom,1993,27,4 times a year,English,Not listed,Journal,Seeks to promote open debate among archaeologists committed to a new idea of Europe in which there is more communication across national frontiers.,ARCHAEOLOGY,Archaeology,
Evolutionary Anthropology,1.19,77,216,Print/Online/Microform,"John Wiley & Sons, Inc. ",United States,1992,28,Bi-monthly,English,Not listed,Journal,"Focuses on all aspects of biological anthropology, paleoanthropology, archaeology, as well as social biology, genetics, and ecology.",ANTHROPOLOGY,Other,
Fasti Online,NA,NA,NA,Online,Associazione Internazionale di Archeologia Classica,Italy,1946,74,Irregular,Multiple languages,Not listed,Directory,Database of archaeological excavations.,ARCHAEOLOGY,Archaeology,
Fennoscandia Archaeologica,0.5,5,7,Print,Suomen Arkeologinen Seura,Finland,1982,38,Annual,"English, German",Not listed,Monographic series,NA,HISTORY - HISTORY OF EUROPE,Other,
Fornvaennen,0.14,4,16,Print/Online,Kungliga Vitterhets Historie och Antikvitets Akademien,Sweden,1872,148,Quarterly,Multiple languages,Not listed,Journal,Swedish antiquarian research.,ARCHAEOLOGY,Archaeology,
Frontiers in Digital Humanities,NA,NA,NA,Online,Frontiers Research Foundation,Switzerland,2014,6,Continuously,English,Yes,Journal,NA,SOCIAL SCIENCES: COMPREHENSIVE WORKS.,Other,
Gallia,0.1,2,0,Print/Online,C N R S Editions,France,1943,77,Semi-annually,French,Yes,Journal,NA,ARCHAEOLOGY,Archaeology,
Geoarchaeology,0.87,39,220,Print/Online/Microform,"John Wiley & Sons, Inc. ",United States,1986,34,Bi-monthly,English,Not listed,Journal,"	Features original reports on the environmental settings of archaeological sites, materials analysis of artifacts, and process papers describing new techniques and equipment.",ARCHAEOLOGY,Archaeology,
Geochimica et Cosmochimica Acta,NA,NA,NA,Print/Online/Microform,Elsevier Ltd,United Kingdom,1950,70,Semi-monthly,"French, German, English",Not listed,Journal,"Features original research covering the spectrum of geochemistry and cosmochemistry, incorporating chemistry, geology, physics and astronomy.",EARTH SCIENCES - GEOLOGY,Other,
Germania,0.25,8,9,Print,Verlag Philipp von Zabern GmbH,Germany,1882,138,Annual,"French, German, English",Not listed,Journal,NA,"ANTHROPOLOGY, ARCHAEOLOGY",Archaeology,
Greece & Rome,0.13,18,10,Print/Online/Microform,Cambridge University Press,United Kingdom,1931,89,Semi-annually,English,Not listed,Journal,"Features informative articles on ancient history, art, archaeology, religion, philosophy, and the classical tradition.",CLASSICAL STUDIES,Other,
Heritage Science,0.67,14,306,Online,BioMed Central Ltd.,United Kingdom,2013,7,Continuously,English,Yes,Journal,NA,"CHEMISTRY, ARCHAEOLOGY",Archaeology,
Hesperia,0.44,22,39,Print/Online,ASCSA Publications,United States,1932,88,Quarterly,English,Not listed,Journal,"Scholarly research on historical, archaeological, literary, and epigraphical topics concerning prehistoric through medieval Greece.","ARCHAEOLOGY, CLASSICAL STUDIES, HISTORY - HISTORY OF EUROPE",Archaeology,
Historical Archaeology,0.38,20,50,Print/Online/CD-ROM,Society for Historical Archaeology,United States,1967,53,Quarterly,English,Not listed,Journal,"Presents theoretical perspectives, comparative studies and artifacts as well as site analysis.",ARCHAEOLOGY,Archaeology,
Human Ecology,0.59,64,301,Print/Online,Commonwealth Human Ecology Council,United Kingdom,1974,46,Semi-annually,English,Not listed,Journal,NA,ENVIRONMENTAL STUDIES,Other,
International Journal of Heritage Studies,0.48,36,299,Print/Online,Routledge,United Kingdom,1994,26,Monthly 10/yr. until 2019,English,Not listed,Journal,Covers topics in all fields related to the preservation and teaching of heritage.,"HUMANITIES: COMPREHENSIVE WORKS, HISTORY",Other,
International Journal of Historical Archaeology,NA,NA,NA,Print/Online/Microform,Springer New York LLC,United States,1997,23,Quarterly,English,Not listed,Journal,"Presents theoretical, methodological, and site-specific research. Focuses on the post-1492 period and includes studies reaching into the Late Medieval period.","ARCHAEOLOGY, HISTORY",Archaeology,
International Journal of Osteoarchaeology,0.67,53,396,Print/Online/Microform,John Wiley & Sons Ltd.,United Kingdom,1991,29,Bi-monthly,English,Not listed,Journal,Deals with all aspects of the study of animal and human bones.,ANTHROPOLOGY,Other,
International Journal of Paleopathology,0.53,18,164,Print/Online,Elsevier Ltd,United Kingdom,2011,9,Quarterly,English,Not listed,Journal,NA,PALEONTOLOGY,Other,
Internet Archaeology,0.19,8,43,Online,University of York * Council for British Archaeology,United Kingdom,1996,24,Semi-annually,English,Yes,Journal,"Publishes the results of archaeological research, including excavation reports, analyses of large datasets, programs used to analyze data, and applications of information technology.",ARCHAEOLOGY,Archaeology,
Iraq,NA,NA,NA,Print/Online,Cambridge University Press,United Kingdom,1934,86,Annual s-a. until 2012,English,Not listed,Journal,"Publishes articles on the history, art, archaeology, religion, economic and social life of Iraq.","ARCHAEOLOGY, ASIAN STUDIES",Archaeology,
Israel Exploration Journal,0.31,14,14,Print/Microform,Israel Exploration Society,Israel,1951,69,Semi-annually,English,Not listed,Journal,"Includes articles on prehistory, biblical archaeology, ancient history, and archaeology of later periods, preliminary excavation reports, special discoveries and finds.","ARCHAEOLOGY, ASIAN STUDIES",Archaeology,
Journal of African Archaeology,0.4,20,34,Print/Online,Brill,Netherlands,2003,17,Semi-annually,English,Not listed,Journal,"Publishes papers focusing on all aspects of African archaeology and has no geographical, chronological or thematic limitations.",ARCHAEOLOGY,Archaeology,
Journal of Alabama Archaeology,NA,NA,NA,Print/Online/Microform,Alabama Archaeological Society,United States,1955,65,Semi-annually,English,Not listed,Journal,Provides a forum for research on the archaeology of Alabama and surrounding regions.,ARCHAEOLOGY,Archaeology,
Journal of Anthropological Archaeology,1.3,59,392,Print/Online,Academic Press,United States,1982,38,Quarterly,English,Not listed,Journal,"Features articles devoted to the development of theory and methodology for the systematic and rigorous understanding of the organization, operation, and evolution of human societies.","ANTHROPOLOGY, ARCHAEOLOGY",Archaeology,
Journal of Anthropological Research,0.39,34,62,Print/Online/Microform,University of Chicago Press,United States,1937,83,Quarterly,English,Not listed,Journal,"Provides critical articles on recent research findings in ethnology, archaeology, biological anthropology, and linguistic anthropology.",ANTHROPOLOGY,Other,
Journal of Archaeological Method and Theory,1.29,50,330,Print/Online,Springer New York LLC,United States,1978,42,Quarterly,English,Not listed,Journal,"Presents original articles that critically assess and integrate research on a specific subject in archaeological method and theory, including topics in the history of archaeology, significant explorations, and relevant case studies.",ARCHAEOLOGY,Archaeology,
Journal of Archaeological Research,1.71,50,107,Print/Online/Microform,Springer New York LLC,United States,1993,27,Quarterly,English,Not listed,Journal,Brings out the international research summaries on a broad range of topics and geographical areas.,ARCHAEOLOGY,Archaeology,
Journal of Archaeological Science,1.72,108,1831,Print/Online,Academic Press,United Kingdom,1974,46,Monthly  ,English,Not listed,Journal,Directed to archaeologists and scientists with particular interests in advances in the application of the scientific techniques and methodologies to all areas of archeology.,ARCHAEOLOGY,Archaeology,
Journal of Archaeological Science: Reports,0.91,16,1846,Print/Online,Elsevier BV,Netherlands,2014,6,Bi-monthly q. until 2016,English,Not listed,Journal,Aims to provide a forum for the debate on issues in scientific archaeology.,ARCHAEOLOGY,Archaeology,
Journal of California and Great Basin Anthropology,NA,NA,NA,Print/Online,University of California * eScholarship,United States,1974,46,Semi-annually,English,Not listed,Journal,"Brings out manuscripts on the ethnography, ethno history, languages, arts, archaeology, and prehistory of the native peoples of Alta and Baja California and the Great Basin.",ANTHROPOLOGY,Other,
Journal of Computer Applications in Archaeology,NA,NA,NA,Online,Ubiquity Press Ltd.,United Kingdom,2018,2,Continuously,English,Yes,Journal,NA,ARCHAEOLOGY - COMPUTER APPLICATIONS,Archaeology,
