ID_Raw,ID_Trim,Gender,Age,Nationality,Language_Native,Language_Publish,Career,Nation_Degree,Nation_Employ,Q4 (Comments)
61,1,Female,40-49,USA,English,English,Other,USA,USA,
420,2,Female,40-49,USA,English,English,Master's Student,USA,USA,
68,3,Male,40-49,USA,English,English,Full Professor,USA,USA,
67,4,Female,40-49,USA,English,English,Master's Student,USA,USA,No.
66,5,Female,40-49,USA,English,English,Associate Professor,USA,USA,
241,6,Female,18-29,USA,English,Multiple,PhD Student,USA,USA,
319,7,Female,30-39,USA,English,English,PhD Student,USA,USA,
27,8,Female,30-39,USA,English,English,Other,USA,USA,
46,9,Male,40-49,USA,English,English,Associate Professor,USA,USA,
48,10,Male,40-49,USA,English,English,Associate Professor,USA,USA,
56,11,Male,30-39,USA,English,English,Other,USA,USA,
73,12,Female,30-39,USA,English,English,Post-Doc,USA,USA,
206,13,Male,18-29,USA,English,English,PhD Student,USA,USA,
218,14,Female,30-39,USA,English,English,Assistant Professor,USA,USA,"Variation in where I have published before, perceived fit of topic/style to journal"
222,15,Female,18-29,USA,English,English,PhD Student,USA,USA,
236,16,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
239,17,Male,40-49,USA,English,English,Associate Professor,USA,USA,
296,18,Male,50-59,Canada,English,French,Full Professor,USA,Canada,"Language - I need/must publish in French and also in Spanish at times.  Also, it is very important for me to support national and regional journals since I do not believe that these international ""high caliber"" journals support regional research and regularly reject articles considered to be too ""local""."
299,19,Male,40-49,Canada,French,English,Associate Professor,USA,Canada,"Whether or not a paper is technical, methodological or theoretical, as opposed to presenting new results will also have a big impact on where I decide to submit, since different journals value these considerations differently. If you work internationally, you may also face pressure/need to publish at least occasionally in regional, non-English-language journals in order to cultivate professional capital in your research area. This also goes for whether you work in an English-language setting or not: generally, I feel it's expected to publish in high-visibility, English-language journals, but you might face pressure to publish in your country's language to cultivate local goodwill. "
305,20,Female,50-59,USA,English,English,Full Professor,USA,USA,
307,21,Female,50-59,USA,English,English,Full Professor,USA,USA,No
314,22,Male,50-59,USA,English,English,Other,USA,USA,N/A
318,23,Male,60-69,USA,English,English,Full Professor,USA,USA,
326,24,Female,60-69,USA,English,English,CRM/Contract Archaeologist,Canada,USA,"Not sure if I understand the above factors correctly, but assume that professional obligation relates to one's duty to publish/disseminate findings while personal relationship relates to professional relationships that one may have which result in joint publications. "
335,25,Male,18-29,USA,English,English,Post-Doc,USA,USA,Topical relevance (i.e. methodological or regional focus)
354,26,Male,50-59,USA,English,English,Associate Professor,USA,USA,Suitability of journal for research is most significant.
417,27,Female,30-39,USA,English,English,CRM/Contract Archaeologist,USA,USA,
462,28,Female,18-29,Canada,Multiple,English,PhD Student,Canada,USA,
479,29,Male,60-69,USA,English,English,Associate Professor,USA,USA,
482,30,Female,60-69,USA,English,English,Associate Professor,USA,USA,
41,31,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
215,32,Male,30-39,USA,English,English,Assistant Professor,USA,USA,
4,33,Female,50-59,USA,Multiple,English,Emeritus Professor,USA,USA,Percentage of disabled/trans/people of color/women involved with publishing the journal. I try to support diversity in my scholarship.
30,34,Female,30-39,Slovakia,Slovak,English,Visiting Professor,USA,UK,
345,35,Female,30-39,Turkey,Turkish,English,Assistant Professor,USA,USA,
414,36,Female,40-49,Greece,Greek,English,Other,UK,Greece,
480,37,Female,30-39,USA,English,English,Other,NA,USA,
19,38,Female,40-49,New Zealand,English,English,Associate Professor,New Zealand,New Zealand,
243,39,Female,30-39,USA,English,English,Associate Professor,USA,USA,
36,40,Female,18-29,Canada,English,English,PhD Student,UK,Canada,
16,41,Male,18-29,USA,English,English,PhD Student,USA,USA,
5,42,Female,30-39,UK,English,English,Post-Doc,UK,USA,
23,43,Male,50-59,Ireland,Multiple,English,CRM/Contract Archaeologist,UK,Ireland,Speed of publication
34,44,Female,18-29,UK,English,English,PhD Student,UK,UK,
47,45,Male,30-39,USA,English,English,Post-Doc,USA,USA,
53,46,NA,30-39,USA,English,English,Assistant Professor,UK,Australia,No
62,47,Female,40-49,Sweden,English,Swedish,Assistant Professor,Sweden,Sweden,
69,48,Female,40-49,USA,English,English,Associate Professor,USA,USA,
74,49,Female,30-39,UK,English,English,Assistant Professor,UK,Australia,
97,50,Female,40-49,USA,English,English,Other,UK,NA,
100,51,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
102,52,Female,60-69,USA,English,English,Full Professor,USA,USA,
205,53,Male,40-49,USA,English,English,Full Professor,USA,USA,"I do not publish (or peer review) for any journal owned by a for-profit corporate publisher. This includes Elsevier, Wiley, and Springer journals. I do not put US taxpayer-funded research on another nation's cultural heritage behind any pay wall that would prevent my funders (the US taxpayers), students, or the people whose cultural heritage I study from reading it."
210,54,Male,40-49,USA,English,English,Full Professor,USA,USA,"Balance, i.e., trying to spread publications around to as many venues as possible."
231,55,Male,50-59,USA,English,English,Full Professor,USA,USA,
246,56,Female,18-29,USA,English,English,PhD Student,UK,USA,
265,57,Male,50-59,USA,English,English,Associate Professor,USA,USA,Fit: will this article fit with the general remit of that journal. 
275,58,Male,30-39,UK,English,English,Other,UK,UK,Publication costs - high publication/page / OA costs can put me off publishing in a journal as am under obligation  to get best value for taxpayer money
278,59,Female,50-59,USA,English,English,Full Professor,USA,USA,
285,60,Male,40-49,UK,English,English,Assistant Professor,UK,UK,
297,61,Female,60-69,UK,English,English,Associate Professor,UK,Ireland,
331,62,Female,30-39,USA,Multiple,English,Assistant Professor,USA,USA,
361,63,Female,60-69,USA,English,English,Full Professor,USA,USA,"Sometimes conference proceedings are published as special issues of journals. If I were part of the conference, I would be inclined to join the publication in that journal. I have done so in the past. "
401,64,Male,40-49,Spain,Spanish,Spanish,Other,Spain,Spain,
409,65,Female,40-49,UK,English,English,Other,UK,UK,Ability to provide additional resources alongside article itself eg do they accept/make available online a database or similar material should this be appropriate to the submission.
412,66,Male,30-39,Greece,Greek,English,Post-Doc,UK,Greece,
447,67,Male,40-49,Norway,Norwegian,Norwegian,Other,Norway,Norway,
484,68,Female,30-39,UK,English,English,Associate Professor,UK,UK,
510,69,Female,18-29,USA,English,English,PhD Student,UK,UK,
247,70,Male,60-69,Netherlands,Dutch,Multiple,Full Professor,Netherlands ,USA,
478,71,Female,18-29,USA,English,English,PhD Student,UK,UK,Journals effectiveness at getting research picked up by the media or promoted on social media - Antiquity is very good at this.
55,72,Female,40-49,Sweden,Swedish,English,Assistant Professor,Sweden,Sweden,
277,73,Male,30-39,UK,English,English,Assistant Professor,UK,UK,Permitted word length (precludes some pieces from some journals)
287,74,Male,40-49,UK,English,English,Post-Doc,UK,UK,
295,75,Male,40-49,Palestine,Arabic,English,Assistant Professor,Spain,Palestine,
271,76,Female,60-69,USA,English,English,Full Professor,USA,Australia,
497,77,Male,30-39,USA,English,English,Other,USA,USA,
508,78,Male,18-29,Chile,Spanish,English,Master's Student,Chile,Chile,Clear publication guidelines and transparency in peer review processes
509,79,Female,30-39,USA,English,English,PhD Student,UK,Multiple,"As an archaeological conservator, I have found that not all journals are willing to accept articles on conservation science as it pertains to archaeology. "
492,80,Male,50-59,Norway,Norwegian,English,Associate Professor,Denmark,Norway,"The most important when publishing a research paper is to reach those readers which you aim at. Usually it will be fellow researchers dealing with related problems, periods or regions. The problem with international ""rankings"" is that since ""everyone"" reads English they falsely consider the Anglo-American journals as the most ""prestigeous"". However, if you deal with Continental European Arhcaeology they are but peripheral."
45,81,Male,50-59,UK,English,English,Associate Professor,UK,UK,Design. Ability of publish in colour.  Ability to submit LaTeX files and not Word.
411,82,Female,30-39,Germany,German,English,Post-Doc,UK,Germany,Whether or not my special field is regularly represented by articles and members of the editorial board
25,83,Male,18-29,USA,English,English,PhD Student,UK,UK,
268,84,Female,40-49,Australia,English,English,Assistant Professor,Australia,Multiple,discipline-specific relevance
288,85,Female,30-39,UK,English,English,Assistant Professor,UK,UK,Topic coverage
71,86,Male,30-39,UK,English,English,Associate Professor,UK,UK,
493,87,Female,50-59,Denmark,Multiple,English,Associate Professor,Netherlands ,Norway,
7,88,Male,30-39,USA,English,English,Assistant Professor,USA,USA,
44,89,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
70,90,Male,30-39,USA,English,English,Assistant Professor,USA,USA,"There is no hierarchy of journals that applies to all manuscripts. Some are designed to reach a local audience, some are intended to introduce a region, concept, or method to a broader audience. This will result in very different rankings of journals, and different order of impacts. This extends to evaluating CVs. If I am hiring a Mesoamerica archaeologist, I look for different journals than when hiring a Bioarchaeologist. These rankings need to be contextualized more than they are presented here."
88,91,Male,50-59,USA,English,English,Associate Professor,USA,USA,
103,92,Male,50-59,Italy,Italian,English,Full Professor,UK,Spain,"
"
209,93,Male,18-29,USA,English,English,PhD Student,USA,USA,
216,94,Male,30-39,Peru,Spanish,English,Assistant Professor,USA,Chile,
219,95,Female,30-39,USA,English,English,Post-Doc,USA,USA,"Relevant previous publications that articulate well with my own (perception that I will be part of a ""conversation"" in the pages of the journal)"
240,96,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
245,97,Male,40-49,USA,English,English,Associate Professor,USA,USA,
264,98,Male,60-69,USA,English,English,Full Professor,USA,USA,
292,99,Female,50-59,USA,English,English,Associate Professor,USA,USA,
294,100,Male,40-49,Canada,French,English,Assistant Professor,Canada,Canada,
322,101,Female,40-49,USA,English,English,Associate Professor,USA,USA,It's important to regularly submit articles to regional journals even though they are less prestigious because they are accessible to people in the part of the world where I work.
333,102,Female,30-39,USA,English,English,PhD Student,USA,USA,
343,103,Female,30-39,USA,English,English,Assistant Professor,USA,USA,"regional coverage, e.g., American Antiquity is well-regarded but does not publish much for my research area (international), meaning that area specialists will not go there to look"
346,104,Male,40-49,India,Multiple,English,Associate Professor,USA,USA,
348,105,Male,70-79,USA,English,English,Emeritus Professor,USA,USA,The breadth of academic audience that is reached is critical for impact both for the scholarship and career development.
350,106,Female,30-39,USA,English,English,PhD Student,USA,USA,
351,107,Female,18-29,USA,English,English,PhD Student,USA,USA,
418,108,Female,40-49,Greece,Greek,English,Post-Doc,UK,Belgium ,Ethics statement of editorial team. General approach of editorial team to the reviewing process. 
429,109,Male,40-49,Germany,German,Multiple,Full Professor,Germany,Norway,
430,110,Female,50-59,Sweden,Swedish,English,Associate Professor,Sweden,Sweden,
85,111,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
495,112,Male,40-49,NA,NA,NA,Post-Doc,UK,UK,
290,113,Male,30-39,UK,English,English,Post-Doc,UK,UK,
293,114,Female,30-39,Canada,Multiple,English,Assistant Professor,UK,Canada,"Opportunities for publishing non-traditional media, colour images, associated meta-/para-/data, etc.
Special issue topics or organized issues that are relevant to my research"
446,115,Female,30-39,UK,English,English,Post-Doc,UK,Norway,Need to publish in a variety of journals. 
225,116,Male,70-79,USA,Multiple,English,Full Professor,USA,USA,
81,117,Male,30-39,USA,English,English,Post-Doc,USA,USA,
413,118,Female,30-39,USA,English,English,Other,USA,USA,
266,119,Male,18-29,USA,English,English,Other,USA,USA,
317,120,Male,50-59,USA,English,English,Full Professor,USA,USA,"frankly I am increasingly alienated from the leading professional organizations.  It is the local and regional organizations and their publications that actually reach the working archaeological community more than the ""prestige"" journals."
84,121,Female,30-39,Norway,Norwegian,English,PhD Student,Norway,Norway,
217,122,Female,40-49,USA,English,English,Assistant Professor,USA,USA,
12,123,Female,30-39,Portugal,Portuguese,English,Other,UK,USA,"Although I must prefer open access, most of the times these is not possible to do due to open access fee associated. Publishing must be truly free without incurring on more costs for researchers, especially for early career scientists "
481,124,Female,40-49,UK,English,English,Other,UK,UK,"Ability to integrate data, multimedia, requirement for digital archiving"
220,125,Male,40-49,USA,English,English,Full Professor,USA,USA,
8,126,Female,30-39,USA,English,English,Post-Doc,USA,Germany,
422,127,Female,60-69,USA,English,English,Full Professor,USA,USA,
40,128,Female,18-29,USA,English,English,Other,USA,USA,I love when journals accept Latex papers and publish Latex and Bibtex style files. 
107,129,Male,30-39,USA,English,English,PhD Student,USA,USA,"Time from acceptance to publication.
Whether they do ""online first"" or not."
228,130,Female,30-39,USA,English,English,PhD Student,USA,USA,
253,131,Male,18-29,USA,English,English,PhD Student,USA,USA,"I am aware of and agree with the criticism of journals that are published by Elsevier or Springer, but as an early career academic, these are not considerations I can afford to act on"
255,132,Male,40-49,Colombia,Spanish,Spanish,Associate Professor,USA,Colombia,Larger audience
250,133,Male,30-39,USA,English,English,Post-Doc,USA,Germany,Where I have/have not published recently
476,134,Female,40-49,Australia,English,English,Other,UK,Australia,"My decisions are driven primarily by the editorial flavour of the journal. Is that journal the place I would logically go to, if I was looking for quality research in my field?"
79,135,Male,18-29,Belgium,Dutch,English,Post-Doc,Belgium,Turkey,
221,136,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
330,137,Male,18-29,USA,English,English,PhD Student,USA,USA,
403,138,Female,60-69,Spain,Spanish,Espanol,Full Professor,Spain,Spain,
416,139,Male,30-39,Netherlands,Dutch,English,Assistant Professor,Netherlands ,Netherlands ,Preferences of co-authors are very important as well. Article Processing Charges depending on available funding 
436,140,Female,30-39,Italy,Italian,English,PhD Student,Italy,Norway,
24,141,Male,30-39,USA,English,English,Assistant Professor,USA,USA,My opinions on this matter are fundamentally colored by my current position on the tenure track. I have delayed publishing work in regionally relevant journals to dedicate time and energy toward work designed for higher impact research in national/international journals as I have been given fairly clear indications that the tenure evaluation process (in particular at levels higher than my own academic unit) values contributions to highly ranked/impact factor journals substantially more. My publication decision making process will likely shift to more heavily value the pertinence of the audience and to open access once I'm over the tenure hurdle. I feel that this situation could be improved if there were ways of communicating the impact of work (beyond typical journal metrics) that were accepted by those non-archaeologists in decision making roles in the academic world.
28,142,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
252,143,Female,18-29,USA,English,English,Master's Student,USA,USA,
263,144,Female,30-39,USA,English,English,Post-Doc,USA,USA,
328,145,Female,40-49,USA,English,English,Full Professor,USA,USA,
332,146,Male,40-49,USA,English,English,Full Professor,USA,USA,
367,147,Male,30-39,USA,English,English,Post-Doc,USA,UK,
397,148,Male,40-49,Spain,Spanish,English,Associate Professor,Spain,Spain,Theoretical paradigm espoused (or privileged) by the journal
316,149,Female,40-49,USA,English,English,Associate Professor,USA,USA,
3,150,Male,50-59,Canada,French,English,Full Professor,Finland,Canada,Do they publish students?
33,151,Male,18-29,UK,Multiple,English,PhD Student,Netherlands ,UK,
49,152,Male,30-39,UK,English,English,Post-Doc,Netherlands ,Turkey,
63,153,Male,18-29,Australia,English,English,PhD Student,Australia,Australia,
64,154,Female,30-39,Austria,German,English,Post-Doc,Austria,Norway,
89,155,Female,18-29,UK,English,English,PhD Student,UK,UK,Personal preference- most articles I read/like are in Journal of Archaeological Science so I would think of publishing there. Guess that would be a mixture of audience and style.
94,156,Male,40-49,USA,Multiple,English,Full Professor,USA,USA,If I‚Äôve had a good experience with the journal in the past
95,157,Male,40-49,USA,English,English,Assistant Professor,USA,USA,
201,158,Female,30-39,USA,English,English,Assistant Professor,UK,USA,Some of these can be equivalent or supercede each other in certain situations. 
232,159,Female,30-39,Slovenia,Slovenian,English,PhD Student,UK,USA,
242,160,Male,40-49,USA,English,English,Associate Professor,Spain,USA,
257,161,Female,18-29,USA,English,English,PhD Student,USA,USA,Figure and word limits
261,162,Male,30-39,Italy,Italian,English,Assistant Professor,Italy,USA,
267,163,Female,30-39,Canada,English,English,Assistant Professor,Canada,USA,
312,164,Male,30-39,USA,English,English,Assistant Professor,USA,USA,"I am currently trying not to publish with Elsevier, because they are the devil."
315,165,Female,40-49,Canada,English,English,Full Professor,USA,USA,
383,166,Male,40-49,USA,English,English,Other,USA,USA,"My work tends to include substantial formal (mathematical, statistical) content. Owing to archaeology's problem of pervasive and insistent innumeracy I focus my submissions on journals that are relatively more likely to publish such content."
394,167,Female,30-39,USA,English,English,PhD Student,USA,USA,
421,168,Male,30-39,Japan,Japanese,English,Post-Doc,Japan,Japan,English version of local (country-specific) journal is an option to sustain the presence of that.
424,169,Female,30-39,Greece,Greece,English,Other,UK,UK,Co-authors strong opinions
426,170,Male,40-49,Germany,German,English,Full Professor,UK,Denmark,
427,171,Male,30-39,Norway,Multiple,Norwegian,CRM/Contract Archaeologist,Norway,Norway,
437,172,Male,60-69,Sweden,Swedish,Swedish,Associate Professor,Sweden,Norway,I prefer publish in books and report-series
448,173,Female,40-49,UK,English,English,Associate Professor,UK,UK,
486,174,Male,30-39,Norway,Norwegian,Multiple,Associate Professor,Norway,Norway,
500,175,Male,40-49,South Africa,Afrikaans,English,Assistant Professor,Canada,South Africa,
507,176,Female,40-49,Portugal,Portuguese,English,CRM/Contract Archaeologist,Portugal,Portugal,
517,177,Male,30-39,Spain,Multiple,English,Post-Doc,Spain,Spain,
91,178,Female,30-39,Italy,Italian,English,Post-Doc,UK,Spain,"Journals which will allow to make points in my career progression, unfortunately "
105,179,Female,30-39,USA,English,English,Post-Doc,Netherlands ,USA,
42,180,Female,18-29,Canada,English,English,Master's Student,Canada,Canada,
396,181,Male,40-49,Spain,Spanish,English,Associate Professor,Spain,Spain,
311,182,Male,50-59,USA,English,English,Full Professor,USA,USA,I generally submit papers to journals that solicit the piece from me and do not spend much energy trying to get in journals against the editors' will.
423,183,Female,30-39,Greece,Greek,English,Post-Doc,UK,Greece,
65,184,Female,50-59,Canada,English,English,Associate Professor,UK,USA,
284,185,Male,30-39,UK,English,English,PhD Student,UK,UK,Topic specific
2,186,Male,30-39,Canada,English,English,Assistant Professor,Canada,USA,
38,187,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
425,188,Male,40-49,Greece,Greek,English,CRM/Contract Archaeologist,UK,Greece,
58,189,Female,30-39,Italy,Italian,English,Other,Netherlands ,Netherlands ,
86,190,Female,18-29,Spain,Multiple,Spanish,Post-Doc,Spain,Spain,
237,191,Female,60-69,USA,English,Multiple,Full Professor,USA,USA,
344,192,Female,40-49,USA,English,English,Visiting Professor,USA,USA,"I put a lot of value in trying to publish in journals where I see articles that inspire me and invoke the kind of research questions, designs, and interpretations that I conduct.  So, instead of an emphasis on pertinent audience, I'm talking here about about an emphasis on pertinent scholarship."
431,193,Female,50-59,Sweden,Swedish,English,Associate Professor,Sweden,Sweden,"Due to funding demands open access is the most important - otherwise I try to find the most relevant journal for the paper. I know I should aim for perceived prestige of journals, but as I actually read and evaluate the quality of the articles I use in my research I know that prestige journals doesn't necessary mean good quality articles, more often just a big name."
260,194,Female,40-49,USA,Multiple,English,Associate Professor,USA,USA,"I think this fits under audience, but the specific niche I'm writing for/about - the question of fit. Not everything is for the general audience at CA for example, but sometimes I regional journal doesn't fit either. "
26,195,Female,30-39,USA,English,English,Visiting Professor,USA,USA,
39,196,Male,40-49,Canada,English,English,Assistant Professor,Canada,USA,
223,197,Female,18-29,USA,English,English,PhD Student,USA,USA,"Length of Article - especially if there is an existing draft, having to cut it significantly for length can make it difficult to express your topic well "
224,198,Female,30-39,UK,English,English,Assistant Professor,USA,USA,
259,199,Male,40-49,USA,English,English,Assistant Professor,USA,USA,
92,200,Female,30-39,USA,English,English,CRM/Contract Archaeologist,USA,USA,
435,201,Male,60-69,Norway,Norwegian,English,Full Professor,Norway,Norway,
14,202,Male,30-39,UK,English,English,Associate Professor,UK,UK,
17,203,Male,18-29,USA,English,English,PhD Student,UK,UK,
18,204,Male,18-29,Canada,French,English,Master's Student,Canada,Canada,
20,205,Female,30-39,UK,English,English,Post-Doc,UK,UK,
60,206,Female,30-39,USA,English,English,PhD Student,Germany,Germany,"The pressure from my director to publish in a journal that is more ""high prestige"" than the research deserves. I mean, Nature does not care about 30 new AMS dates from blah blah during the Bronze Age..."
77,207,Male,40-49,Australia,English,English,Associate Professor,Australia,USA,Where other papers on the same topic have appeared: 'birds of a feather'
78,208,Male,40-49,USA,English,English,Associate Professor,USA,Multiple,
93,209,Female,30-39,UK,English,English,Post-Doc,UK,UK,
101,210,Male,30-39,Germany,German,English,Post-Doc,Germany,UK,Time between acceptance and publication
117,211,Female,30-39,Canada,French,English,Post-Doc,USA,USA,I tend to choose journals to submit to based on which ones I read from the most during literature review.
208,212,Female,18-29,USA,English,English,PhD Student,USA,USA,
280,213,Male,30-39,Italy,Italian,English,Assistant Professor,UK,UK,
298,214,Female,30-39,UK,English,English,Associate Professor,UK,UK,
304,215,Male,60-69,UK,English,English,Assistant Professor,UK,UK,
324,216,Male,30-39,USA,English,English,PhD Student,USA,USA,
327,217,Female,30-39,UK,English,English,Associate Professor,UK,UK,
398,218,Female,50-59,Spain,Spanish,English,Post-Doc,Spain,Spain,
410,219,Male,18-29,New Zealand,English,English,PhD Student,New Zealand,UK,
433,220,Male,30-39,Norway,Norwegian,English,PhD Student,Norway,Norway,
438,221,Female,40-49,Poland,German,English,Post-Doc,Sweden,Sweden," In my opinion, some Anglophonic journals more often reject studies where Russian materials are involved.  In Elsevier (JAS) it is very apparent. There is no impartial evaluation process based on academic quality and the importance of a given study for archaeological science, in this case. Biased selection of seemingly eye-catchy topics is preferred. 
Some editors are also unprepared to find suitable reviewers (waiting time over 8 months up to 2 years). E.g. Elsevier.
The only option for me- for example- is to publish in German journals which, in turn, have lower impact factors. Another option is to publish with Wiley or Taylor & Francis.
"
498,222,Female,30-39,USA,English,English,Post-Doc,UK,UK,
501,223,Male,18-29,USA,English,English,PhD Student,USA,USA,
502,224,Male,30-39,Portugal,Portuguese,English,Post-Doc,UK,Portugal,
505,225,Male,50-59,USA,English,English,Full Professor,USA,USA,word count and figure count limits--sometimes I have longer pieces not suitable for short length limit journals
52,226,Female,18-29,UK,English,English,Master's Student,UK,UK,
282,227,Male,30-39,USA,English,English,Assistant Professor,USA,USA,"Open access is mostly purchased (unfortunately!), so it doesn't stand high in my ratings."
51,228,Female,18-29,UK,English,English,PhD Student,UK,Germany,
11,229,Female,30-39,France,French,English,Post-Doc,France,Italy,
270,230,Male,30-39,Israel,Hebrew,English,Post-Doc,Israel,UK,
207,231,Female,18-29,USA,English,English,PhD Student,USA,USA,"Publishing cost - while some of the journals I rated are super important (to me at least), I find that charging $1500+ to publish an accepted article is absurd."
35,232,Female,30-39,USA,English,English,Visiting Professor,USA,USA,I look at word count as well since they seem to be ever shrinking.
37,233,Female,30-39,USA,English,English,PhD Student,USA,USA,
76,234,Female,50-59,USA,English,English,Assistant Professor,USA,USA,
82,235,Female,30-39,New Zealand,English,English,Post-Doc,New Zealand,New Zealand,
99,236,Male,18-29,USA,English,English,PhD Student,USA,USA,
174,237,Male,40-49,USA,English,English,Assistant Professor,USA,USA,The list above doesn't adequately capture my most important concerns: 1) which journal is likely to reach the broadest audience for the longest amount of time (which is basically about making the research relevant to the most scholars globally)?; 2) which journal format is most appropriate for my desired presentation and audience?
227,238,Female,30-39,USA,English,English,PhD Student,USA,USA,
276,239,Female,30-39,Canada,English,English,Associate Professor,Canada,USA,"Significance of the research, eg local vs international interest. Status in career or tenure process, eg am I trying to impress my colleagues or my Dean?"
325,240,Male,30-39,USA,English,English,Post-Doc,USA,USA,"Topical/Special Issues, Word Count (especially whether references included)"
419,241,Male,18-29,USA,English,English,Visiting Professor,USA,USA,
104,242,Female,40-49,USA,Multiple,English,Associate Professor,USA,USA,
434,243,Male,50-59,Denmark,Danish,English,Associate Professor,Denmark,Norway,"Profile of Journal, Subjects covered, Geographical coverage, To what degree they accept detailed and in depth studies"
490,244,Male,30-39,USA,English,English,Other,USA,USA,Related to pertinent audience: Previous (lines of) research published in the journal
80,245,Female,30-39,USA,English,English,Post-Doc,UK,USA,
272,246,Female,30-39,UK,English,English,PhD Student,UK,UK,Length of article considered for publication.
274,247,Female,40-49,Italy,Multiple,English,Post-Doc,Germany,Germany,When I am publishing data from excavation in a country outside north-western Europe I always submit my manuscript to local journals. My aim is to promote a more fair research development 
9,248,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
10,249,Female,18-29,India,Multiple,English,PhD Student,UK,Germany,
72,250,Female,30-39,USA,English,English,PhD Student,USA,USA,
75,251,Male,18-29,Canada,English,English,PhD Student,Canada,Canada,
96,252,Male,18-29,USA,English,English,Master's Student,USA,USA,"Quality, scope, and nature of manuscript tone submitted "
98,253,Female,30-39,UK,Multiple,English,PhD Student,UK,UK,
108,254,Female,30-39,USA,Multiple,English,Post-Doc,USA,USA,Diversifying publication record (don't want all my articles in the same journal) and who is on the editorial staff 
211,255,Male,40-49,USA,English,English,Full Professor,USA,USA,
212,256,Male,60-69,USA,English,English,Other,USA,USA,"I use this box to note that I rank Latin American Antiquity and American Antiquity equally as they pertain to Latin America and (mostly) North America, equally; it is simply a question of the regional focus of each journal. I am not sure what ""Journal Impact Factor"" means but interpret it as publishing in said journal will have a greater impact in field, on colleagues, etc. than some other journal.  I have not yet published in Open Access. I do not concern myself with ""personal relationships"" when it comes to publishing except in cases where I believe that the editor is unfairly biased against me (often for reasons I can't comprehend) as has been the case."
226,257,Female,18-29,USA,English,English,PhD Student,USA,USA,Have I published there before (aiming for publication in a diverse range of journals-- might not submit to a journal I've already published in if I can help it)
229,258,Female,18-29,USA,English,English,PhD Student,USA,USA,
230,259,Female,18-29,USA,English,English,PhD Student,USA,USA,
233,260,Male,18-29,USA,English,English,PhD Student,USA,USA,
238,261,Female,30-39,USA,English,English,PhD Student,Multiple,USA,"Prior experience with journal, or prior experience of colleagues"
254,262,Female,40-49,USA,English,English,Associate Professor,USA,USA,"Regional archaeological journals play an essential role in reaching pertinent audiences even though their prestige is not as high across the whole field. I did not list the best journals specific to my region above, but I would rank them somewhere in the lower half of the top ""importance"" list for the archaeology of my region. 
One additional key factor on where to submit is the ""fit"" between the themes and content of the article and the target journal. Matters like the desired balance of theory, method, and data, the allowable tables and figures (including whether color figures are printed), and the general ideological tenor of the journal are critical in choosing where to submit. I would rank this a number 2 or 3 in the list of factors."
329,263,Female,18-29,USA,English,English,PhD Student,USA,USA,
499,264,Female,30-39,Canada,Multiple,English,PhD Student,Canada,USA,
504,265,Male,18-29,USA,Multiple,English,PhD Student,USA,USA,
309,266,Male,40-49,USA,English,English,Assistant Professor,USA,USA,
286,267,Female,40-49,UK,English,English,Assistant Professor,Netherlands ,UK,interdisciplinarity
59,268,Female,40-49,USA,English,English,Post-Doc,USA,Germany,
32,269,Male,18-29,USA,English,English,PhD Student,USA,USA,
43,270,Male,60-69,USA,English,English,CRM/Contract Archaeologist,USA,USA,"Having experienced extremely biased reviewers, I eliminate those journals from consideration."
289,271,Male,18-29,USA,English,English,PhD Student,UK,UK,N/A
269,272,Female,60-69,UK,English,English,Full Professor,UK,UK,No
432,273,Female,30-39,Croatia,Croatian,English,PhD Student,Sweden,Sweden,
124,274,Female,40-49,UK,English,English,Associate Professor,UK,UK,Will the journal publish accompanying datasets? Will the journal publish in langs other than English (at least in abstract)? How much are the APCs for OA? What is the journal's position on e.g. encouraging diversity and under-represented groups to publish? Is there a diverse editorial board? How flexible is the format? Do they have online first? Do the editors operate a responsible reviews process e.g. give clear guidelines on appropriate lang/tone for reviews?