journal_name,subject_1,subject_2,subject_3,subject_4
Aarboeger for Nordisk Oldkyndighed og Historie,HISTORY - HISTORY OF EUROPE,,,
Acta Archaeologica,ARCHAEOLOGY,,,
Advances in Archaeological Method and Theory,ARCHAEOLOGY,,,
Advances in Archaeological Practice,ANTHROPOLOGY,ARCHAEOLOGY,,
African Archaeological Review,ARCHAEOLOGY,HISTORY - HISTORY OF AFRICA,,
American Anthropologist,ANTHROPOLOGY,,,
American Antiquity,ARCHAEOLOGY,,,
American Journal of Archaeology,ARCHAEOLOGY,,,
American Journal of Human Biology,BIOLOGY,,,
American Journal of Physical Anthropology,ANTHROPOLOGY,,,
American Schools of Oriental Research. Bulletin,ASIAN STUDIES,HISTORY - HISTORY OF THE NEAR EAST,,
Anatolian Studies,ARCHAEOLOGY,ASIAN STUDIES,,
Anatolica,ARCHAEOLOGY,HISTORY - HISTORY OF ASIA,,
Ancient Mesoamerica,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,,
Andean Past,ARCHAEOLOGY,,,
Annual Review of Anthropology,ANTHROPOLOGY,,,
Antiquites Africaines,ARCHAEOLOGY,HISTORY - HISTORY OF AFRICA,,
Antiquity,ARCHAEOLOGY,,,
Archaeofauna,ARCHAEOLOGY,BIOLOGY - ZOOLOGY,,
Archaeological and Anthropological Sciences,ARCHAEOLOGY,,,
Archaeological Dialogues,ARCHAEOLOGY,,,
Archaeological Prospection,ARCHAEOLOGY,,,
Archaeological Research in Asia,ARCHAEOLOGY,,,
Archaeological Review from Cambridge,ARCHAEOLOGY,,,
Archaeologies,ARCHAEOLOGY,,,
Archaeologischer Anzeiger,ARCHAEOLOGY,,,
Archaeologisches Korrespondenzblatt,ARCHAEOLOGY,,,
Archaeology of Eastern North America,ARCHAEOLOGY,,,
Archaeometry,ARCHAEOLOGY,ENGINEERING,,
Archeologie Medievale,ARCHAEOLOGY,,,
Asian Perspectives,ARCHAEOLOGY,,,
Association for Preservation Technology International. Bulletin,ARCHITECTURE,,,
Australian Archaeology,ARCHAEOLOGY,,,
Azania,ARCHAEOLOGY,HISTORY - HISTORY OF AFRICA,,
Bioarchaeology International,ANTHROPOLOGY,ARCHAEOLOGY,,
Boreas,PALEONTOLOGY,EARTH SCIENCES - GEOLOGY,,
Britannia,CLASSICAL STUDIES,HISTORY - HISTORY OF EUROPE,,
British School at Athens. Annual,ARCHAEOLOGY,ART,CLASSICAL STUDIES,HISTORY - HISTORY OF EUROPE
British School at Rome. Papers,ARCHAEOLOGY,ART,HISTORY - HISTORY OF EUROPE,
Bulletin Antieke Beschaving,ARCHAEOLOGY,CLASSICAL STUDIES,,
California Archaeology,ARCHAEOLOGY,,,
Cambridge Archaeological Journal,ARCHAEOLOGY,,,
Canadian Journal of Archaeology,ARCHAEOLOGY,,,
Cell,BIOLOGY - CYTOLOGY AND HISTOLOGY,,,
Chungara,ANTHROPOLOGY,ARCHAEOLOGY,,
Commissione Archeologica Comunale di Roma. Bullettino,ARCHAEOLOGY,CLASSICAL STUDIES,,
Conservation and Management of Archaeological Sites,ARCHAEOLOGY,,,
Current Anthropology,ANTHROPOLOGY,,,
Danish Journal of Archaeology,ARCHAEOLOGY,,,
Deutsches Archaeologisches Institut. Roemische Abteilung. Mitteilungen,ARCHAEOLOGY,,,
Documenta Praehistorica,ARCHAEOLOGY,,,
Dumbarton Oaks Papers,ARCHAEOLOGY,,,
Ecole Francaise de Rome. Melanges: Antiquite,ARCHAEOLOGY,,,
Environmental Archaeology,ENVIRONMENTAL STUDIES,ARCHAEOLOGY,,
European Journal of Archaeology,ARCHAEOLOGY,,,
Evolutionary Anthropology,ANTHROPOLOGY,,,
Fasti Online,ARCHAEOLOGY,,,
Fennoscandia Archaeologica,HISTORY - HISTORY OF EUROPE,,,
Fornvaennen,ARCHAEOLOGY,,,
Frontiers in Digital Humanities,SOCIAL SCIENCES: COMPREHENSIVE WORKS,,,
Gallia,ARCHAEOLOGY,,,
Geoarchaeology,ARCHAEOLOGY,,,
Geochimica et Cosmochimica Acta,EARTH SCIENCES - GEOLOGY,,,
Germania,ANTHROPOLOGY,ARCHAEOLOGY,,
Greece & Rome,CLASSICAL STUDIES,,,
Heritage Science,CHEMISTRY,ARCHAEOLOGY,,
Hesperia,ARCHAEOLOGY,CLASSICAL STUDIES,HISTORY - HISTORY OF EUROPE,
Historical Archaeology,ARCHAEOLOGY,,,
Human Ecology,ENVIRONMENTAL STUDIES,,,
International Journal of Heritage Studies,HUMANITIES: COMPREHENSIVE WORKS,HISTORY,,
International Journal of Historical Archaeology,ARCHAEOLOGY,HISTORY,,
International Journal of Osteoarchaeology,ANTHROPOLOGY,,,
International Journal of Paleopathology,PALEONTOLOGY,,,
Internet Archaeology,ARCHAEOLOGY,,,
Iraq,ARCHAEOLOGY,ASIAN STUDIES,,
Israel Exploration Journal,ARCHAEOLOGY,ASIAN STUDIES,,
Journal of African Archaeology,ARCHAEOLOGY,,,
Journal of Alabama Archaeology,ARCHAEOLOGY,,,
Journal of Anthropological Archaeology,ANTHROPOLOGY,ARCHAEOLOGY,,
Journal of Anthropological Research,ANTHROPOLOGY,,,
Journal of Archaeological Method and Theory,ARCHAEOLOGY,,,
Journal of Archaeological Research,ARCHAEOLOGY,,,
Journal of Archaeological Science,ARCHAEOLOGY,,,
Journal of Archaeological Science: Reports,ARCHAEOLOGY,,,
Journal of California and Great Basin Anthropology,ANTHROPOLOGY,,,
Journal of Computer Applications in Archaeology,ARCHAEOLOGY - COMPUTER APPLICATIONS,,,
Journal of Contemporary Archaeology,ARCHAEOLOGY,,,
Journal of Cultural Heritage,ANTHROPOLOGY,HISTORY,,
Journal of Eastern Mediterranean Archaeology and Heritage Studies,ARCHAEOLOGY,,,
Journal of Egyptian Archaeology,ARCHAEOLOGY,HISTORY - HISTORY OF THE NEAR EAST,,
Journal of Ethnobiology,ANTHROPOLOGY,BIOLOGY - BOTANY,BIOLOGY - ZOOLOGY,
Journal of Field Archaeology,ARCHAEOLOGY,,,
Journal of Human Evolution,ANTHROPOLOGY,BIOLOGY - GENETICS,,
Journal of Interdisciplinary History,HUMANITIES: COMPREHENSIVE WORKS,HISTORY,,
Journal of Irish Archaeology,ARCHAEOLOGY,,,
Journal of Island & Coastal Archaeology,ARCHAEOLOGY,,,
Journal of Maritime Archaeology,ARCHAEOLOGY,,,
Journal of Material Culture,ANTHROPOLOGY,SOCIOLOGY,,
Journal of Mediterranean Archaeology,ARCHAEOLOGY,,,
Journal of Near Eastern Studies,ARCHAEOLOGY,LINGUISTICS,,
Journal of Neolithic Archaeology,ARCHAEOLOGY,,,
Journal of Northern Studies,LINGUISTICS,SOCIOLOGY,,
Journal of Open Archaeology Data,ARCHAEOLOGY,,,
Journal of Paleolithic Archaeology,ARCHAEOLOGY,,,
Journal of Quaternary Science,ARCHAEOLOGY,BIOLOGY,PALEONTOLOGY,EARTH SCIENCES - GEOLOGY
Journal of Roman Archaeology,ARCHAEOLOGY,CLASSICAL STUDIES,,
Journal of Roman Studies,CLASSICAL STUDIES,,,
Journal of Social Archaeology,ANTHROPOLOGY,ARCHAEOLOGY,,
Journal of the North Atlantic,ARCHAEOLOGY,,,
Journal of World Prehistory,ANTHROPOLOGY,ARCHAEOLOGY,GEOGRAPHY,
Kiva,ANTHROPOLOGY,ARCHAEOLOGY,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,
Kuml,ARCHAEOLOGY,,,
Landscape Research,ARCHITECTURE,GARDENING AND HORTICULTURE,,
Latin American Antiquity,ARCHAEOLOGY,,,
Lithic Technology,ANTHROPOLOGY,ARCHAEOLOGY,,
Medieval Archaeology,ARCHAEOLOGY,HISTORY - HISTORY OF EUROPE,,
Midcontinental Journal of Archaeology,ARCHAEOLOGY,,,
Museum Anthropology,ANTHROPOLOGY,MUSEUMS AND ART GALLERIES,,
National Academy of Sciences. Proceedings,SCIENCES: COMPREHENSIVE WORKS,,,
Nature,SCIENCES: COMPREHENSIVE WORKS,,,
Nature Communications,SCIENCES: COMPREHENSIVE WORKS,,,
Nature Ecology & Evolution,BIOLOGY,,,
Nature Human Behaviour,PSYCHOLOGY,,,
Nawpa Pacha,ARCHAEOLOGY,,,
Near Eastern Archaeology,ARCHAEOLOGY,ASIAN STUDIES,RELIGIONS AND THEOLOGY,
North American Archaeologist,ARCHAEOLOGY,,,
Norwegian Archaeological Review,ARCHAEOLOGY,,,
Numismatic Chronicle,NUMISMATICS,,,
Offa,HISTORY - HISTORY OF EUROPE,,,
Open Archaeology,ARCHAEOLOGY,,,
Oxford Journal of Archaeology,ARCHAEOLOGY,,,
PaleoAmerica,ARCHAEOLOGY,,,
Paleorient,PALEONTOLOGY,,,
Plains Anthropologist,ANTHROPOLOGY,ARCHAEOLOGY,,
PLoS One,MEDICAL SCIENCES,SCIENCES: COMPREHENSIVE WORKS,,
Post-Medieval Archaeology,ARCHAEOLOGY,,,
Praehistorische Zeitschrift,ARCHAEOLOGY,,,
"Prehistoric Society, London. Proceedings.",ARCHAEOLOGY,,,
Quaternary International,EARTH SCIENCES - GEOLOGY,,,
Quaternary Research,PALEONTOLOGY,EARTH SCIENCES - GEOLOGY,,
Quaternary Science Reviews,PALEONTOLOGY,SCIENCES: COMPREHENSIVE WORKS,EARTH SCIENCES - GEOLOGY,
Radiocarbon,SCIENCES: COMPREHENSIVE WORKS,,,
Remote Sensing,PHYSICS,,,
Revista Chilena de Antropologia,ANTHROPOLOGY,,,
Roemisch-Germanischen Kommission. Berichte,ARCHAEOLOGY,,,
"Royal Irish Academy. Proceedings. Section C: Archaeology, Celtic Studies, History, Linguistics and Literature",ARCHAEOLOGY,LITERATURE,HISTORY - HISTORY OF EUROPE,
Royal Society of London. Proceedings B. Biological Sciences,BIOLOGY,,,
Science,SCIENCES: COMPREHENSIVE WORKS,,,
Science Advances,SCIENCES: COMPREHENSIVE WORKS,,,
Scientific Reports,SCIENCES: COMPREHENSIVE WORKS,,,
Siedlungs- und Kuestenforschung im Suedlichen Nordseegebiet,ARCHAEOLOGY,,,
South African Archaeological Bulletin,ARCHAEOLOGY,,,
Southeastern Archaeology,ARCHAEOLOGY,,,
Southern African Humanities,ARCHAEOLOGY,,,
The Archaeological Journal,ARCHAEOLOGY,,,
The Art Bulletin,ART,,,
The Florida Anthropologist,ANTHROPOLOGY,ARCHAEOLOGY,,
The Holocene,ENVIRONMENTAL STUDIES,,,
The Journal of Hellenic Studies,CLASSICAL STUDIES,LINGUISTICS,,
Theoretical Roman Archaeology Journal,ARCHAEOLOGY,,,
Trabajos de Prehistoria. Nueva Serie,ARCHAEOLOGY,,,
University College London. Institute of Archaeology. Papers,ARCHAEOLOGY,,,
Vegetation History and Archaeobotany,BIOLOGY - BOTANY,EARTH SCIENCES,,
Viking,ARCHAEOLOGY,,,
World Archaeology,ARCHAEOLOGY,,,
Zeitschrift fuer Assyriologie und Vorderasiatische Archaeologie,ARCHAEOLOGY,,,
Smithsonian,MUSEUMS AND ART GALLERIES,SCIENCES: COMPREHENSIVE WORKS,SOCIAL SCIENCES: COMPREHENSIVE WORKS,TECHNOLOGY: COMPREHENSIVE WORKS